ID,arrival_time,length,cpus,length_class,resource_class,carbon_cost,dollar_cost,start_time,waiting_time,exit_time,reason
0,0,1260,1,0-2,1,0.17048750000000001,0.0,0,0,1260,completed
1,13,200,1,0-2,1,0.02670555555555556,0.0,13,0,213,completed
2,92,314,3,0-2,3-4,0.12578316666666667,0.0,92,0,406,completed
3,167,4709,1,6-12,1,0.6804191388888889,0.0,167,0,4876,completed
4,397,133,1,0-2,1,0.017759194444444446,0.0,397,0,530,completed
5,523,125,2,0-2,2,0.03338194444444444,0.0,523,0,648,completed
6,523,125,2,0-2,2,0.03338194444444444,0.0,523,0,648,completed
7,587,10992,1,12-24,1,1.524372486111111,0.0,587,0,11579,completed
8,601,10569,1,12-24,1,1.4182971666666666,0.0,601,0,11170,completed
9,810,4732,3,6-12,3-4,1.9985689166666665,0.0,810,0,5542,completed
10,958,350,2,0-2,2,0.09637638888888891,0.0,958,0,1308,completed
11,1159,565,1,0-2,1,0.07906751388888889,0.0,1159,0,1724,completed
12,1284,5424,1,6-12,1,0.6975178333333333,0.0,1284,0,6708,completed
13,1389,2434,2,2-6,2,0.7177984166666665,0.0,1389,0,3823,completed
14,1515,408,1,0-2,1,0.05800966666666667,0.0,1515,0,1923,completed
15,1725,222,1,0-2,1,0.031564083333333326,0.0,1725,0,1947,completed
16,1725,222,1,0-2,1,0.031564083333333326,0.0,1725,0,1947,completed
17,1997,1667,1,2-6,1,0.24843543055555553,0.0,1997,0,3664,completed
18,2096,83,1,0-2,1,0.011820513888888889,0.0,2096,0,2179,completed
19,2253,494,1,0-2,1,0.07074491666666666,0.0,2253,0,2747,completed
20,2299,112,1,0-2,1,0.016039333333333333,0.0,2299,0,2411,completed
21,2555,3388,1,6-12,1,0.4558189166666667,0.0,2555,0,5943,completed
22,2660,97,1,0-2,1,0.013891208333333332,0.0,2748,88,2845,completed
24,3055,65,1,0-2,1,0.010146319444444444,0.0,3055,0,3120,completed
26,3178,74,1,0-2,1,0.011551194444444444,0.0,3178,0,3252,completed
27,3179,68,1,0-2,1,0.010614611111111111,0.0,3253,74,3321,completed
28,3284,2472,1,2-6,1,0.32867372222222224,0.0,3322,38,5794,completed
30,3349,704,1,0-2,1,0.10691831944444445,0.0,3665,316,4369,completed
25,3134,34571,2,48+,2,21.8419,0.0,3824,690,38395,completed
32,3505,2215,1,2-6,1,0.2402913888888889,0.19196666666666667,4225,720,6440,completed
33,4268,61,1,0-2,1,0.008752652777777781,0.0,4370,102,4431,completed
34,4465,709,1,0-2,1,0.09544295833333336,0.0,4465,0,5174,completed
35,4543,2548,1,2-6,1,0.2490442916666667,0.22082666666666667,4543,0,7091,completed
36,4712,5939,1,12-24,1,0.698753861111111,0.5147133333333334,4712,0,10651,completed
29,3291,95,2,0-2,2,0.018345555555555566,0.0,5175,1884,5270,completed
37,4901,471,2,0-2,2,0.09095533333333333,0.0,5271,370,5742,completed
